name,fire 3 adjusted
0,0,0
5,2,1
9,4,1
13,6,2
17,8,3
20,10,3
22,12,4
25,14,5
27,16,5
29,17,6
31,19,7
33,20,7
35,21,8
37,22,9
39,23,9
41,24,10
43,25,11
45,26,11
48,27,12
50,29,12
52,30,13
54,31,13
56,32,14
59,33,14
61,34,14
63,35,15
65,36,15
68,38,15
70,39,15
72,40,16
75,41,16
77,42,16
79,43,16
82,44,16
84,46,16
87,47,17
89,48,17
91,49,17
94,50,17
96,51,17
99,53,17
101,54,17
104,55,17
106,56,17
109,57,17
111,59,17
114,60,18
116,61,18
119,62,18
121,64,18
124,65,18
126,66,18
129,67,18
131,68,18
134,70,18
137,71,18
139,72,17
142,73,17
144,75,17
147,76,17
150,77,17
152,78,17
155,80,17
158,81,17
160,82,17
163,83,17
166,85,16
168,86,16
171,87,16
174,89,16
176,90,16
179,91,15
182,92,15
185,94,15
187,95,15
190,96,14
193,98,14
196,99,14
198,100,13
201,102,13
204,103,13
207,104,12
209,106,12
212,107,11
215,108,11
218,109,10
221,111,9
224,112,9
226,113,8
229,115,7
232,116,7
235,118,6
238,119,5
241,120,4
243,122,4
246,123,3
249,124,2
252,126,1
255,127,0
255,129,0
255,131,0
255,133,0
255,135,0
255,137,0
255,139,0
255,141,0
255,143,0
255,145,0
255,147,0
255,149,0
255,151,0
255,153,0
255,155,0
255,157,0
255,159,0
255,161,0
255,163,0
255,165,0
255,167,0
255,169,0
255,171,0
255,173,0
255,175,0
255,176,0
255,178,0
255,180,0
255,182,0
255,184,0
255,186,0
255,188,0
255,190,0
255,191,0
255,193,0
255,195,0
255,197,0
255,199,0
255,201,0
255,203,0
255,204,0
255,206,0
255,208,0
255,210,0
255,212,0
255,213,0
255,215,0
255,217,0
255,219,0
255,221,0
255,223,0
255,224,0
255,226,0
255,228,0
255,230,0
255,232,0
255,233,0
255,235,0
255,237,0
255,239,0
255,241,0
255,242,0
255,244,0
255,246,0
255,248,0
255,250,0
255,251,0
255,253,0
255,255,0
255,255,15
255,255,25
255,255,33
255,255,39
255,255,44
255,255,49
255,255,54
255,255,58
255,255,62
255,255,66
255,255,69
255,255,73
255,255,76
255,255,79
255,255,82
255,255,85
255,255,88
255,255,91
255,255,94
255,255,97
255,255,100
255,255,103
255,255,105
255,255,108
255,255,111
255,255,113
255,255,116
255,255,118
255,255,121
255,255,123
255,255,126
255,255,128
255,255,131
255,255,133
255,255,135
255,255,138
255,255,140
255,255,142
255,255,145
255,255,147
255,255,149
255,255,152
255,255,154
255,255,156
255,255,159
255,255,161
255,255,163
255,255,165
255,255,168
255,255,170
255,255,172
255,255,174
255,255,177
255,255,179
255,255,181
255,255,183
255,255,186
255,255,188
255,255,190
255,255,192
255,255,194
255,255,197
255,255,199
255,255,201
255,255,203
255,255,205
255,255,207
255,255,210
255,255,212
255,255,214
255,255,216
255,255,218
255,255,220
255,255,223
255,255,225
255,255,227
255,255,229
255,255,231
255,255,233
255,255,236
255,255,238
255,255,240
255,255,242
255,255,244
255,255,246
255,255,249
255,255,251
255,255,253
255,255,255
